Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,GapToPrev,Is_Following,CleanMax,Slipstream_Delta,Dirty_Air_Tax
0 days 02:20:04.784000,RUS,63,0 days 00:01:21.567000,60.0,3.0,,,0 days 00:00:29.096000,0 days 00:00:29.329000,0 days 00:00:23.142000,0 days 02:19:12.313000,0 days 02:19:41.642000,0 days 02:20:04.784000,279.0,251.0,257.0,310.0,False,HARD,17.0,True,Mercedes,0 days 02:18:43.217000,,1,4.0,False,,False,True,0.553,1,344.0,-34.0,2.157999999999987
0 days 02:21:26.343000,RUS,63,0 days 00:01:21.559000,61.0,3.0,,,0 days 00:00:29.497000,0 days 00:00:29.004000,0 days 00:00:23.058000,0 days 02:20:34.281000,0 days 02:21:03.285000,0 days 02:21:26.343000,285.0,248.0,258.0,311.0,False,HARD,18.0,True,Mercedes,0 days 02:20:04.784000,,1,4.0,False,,False,True,0.394,1,344.0,-33.0,2.1499999999999915
0 days 02:22:47.648000,RUS,63,0 days 00:01:21.305000,62.0,3.0,,,0 days 00:00:29.649000,0 days 00:00:28.773000,0 days 00:00:22.883000,0 days 02:21:55.992000,0 days 02:22:24.765000,0 days 02:22:47.648000,283.0,248.0,256.0,312.0,False,HARD,19.0,True,Mercedes,0 days 02:21:26.343000,,1,3.0,False,,False,True,21.621,0,344.0,0.0,1.8960000000000008
0 days 02:24:07.781000,RUS,63,0 days 00:01:20.133000,63.0,3.0,,,0 days 00:00:28.834000,0 days 00:00:28.643000,0 days 00:00:22.656000,0 days 02:23:16.482000,0 days 02:23:45.125000,0 days 02:24:07.781000,280.0,250.0,252.0,303.0,False,HARD,20.0,True,Mercedes,0 days 02:22:47.648000,,1,3.0,False,,False,True,21.559,0,344.0,0.0,0.7239999999999895
0 days 02:25:28.146000,RUS,63,0 days 00:01:20.365000,64.0,3.0,,,0 days 00:00:29.223000,0 days 00:00:28.557000,0 days 00:00:22.585000,0 days 02:24:37.004000,0 days 02:25:05.561000,0 days 02:25:28.146000,,251.0,253.0,289.0,False,HARD,21.0,True,Mercedes,0 days 02:24:07.781000,,1,3.0,False,,False,True,20.993,0,344.0,0.0,0.9559999999999889
0 days 02:26:48.544000,RUS,63,0 days 00:01:20.398000,65.0,3.0,,,0 days 00:00:29.164000,0 days 00:00:28.594000,0 days 00:00:22.640000,0 days 02:25:57.310000,0 days 02:26:25.904000,0 days 02:26:48.544000,,250.0,250.0,290.0,False,HARD,22.0,True,Mercedes,0 days 02:25:28.146000,,1,3.0,False,,False,True,20.862,0,344.0,0.0,0.9889999999999901
0 days 02:28:08.991000,RUS,63,0 days 00:01:20.447000,66.0,3.0,,,0 days 00:00:29.181000,0 days 00:00:28.560000,0 days 00:00:22.706000,0 days 02:27:17.725000,0 days 02:27:46.285000,0 days 02:28:08.991000,279.0,251.0,252.0,288.0,False,HARD,23.0,True,Mercedes,0 days 02:26:48.544000,,1,3.0,False,,False,True,20.648,0,344.0,0.0,1.0379999999999967
0 days 02:29:29.592000,RUS,63,0 days 00:01:20.601000,67.0,3.0,,,0 days 00:00:29.258000,0 days 00:00:28.567000,0 days 00:00:22.776000,0 days 02:28:38.249000,0 days 02:29:06.816000,0 days 02:29:29.592000,281.0,251.0,252.0,,False,HARD,24.0,True,Mercedes,0 days 02:28:08.991000,,1,3.0,False,,False,True,21.049,0,344.0,0.0,1.191999999999993
0 days 02:30:49.844000,RUS,63,0 days 00:01:20.252000,68.0,3.0,,,0 days 00:00:29.108000,0 days 00:00:28.487000,0 days 00:00:22.657000,0 days 02:29:58.700000,0 days 02:30:27.187000,0 days 02:30:49.844000,,252.0,252.0,289.0,False,HARD,25.0,True,Mercedes,0 days 02:29:29.592000,,1,3.0,False,,False,True,21.079,0,344.0,0.0,0.8429999999999893
0 days 02:32:10.395000,RUS,63,0 days 00:01:20.551000,69.0,3.0,,,0 days 00:00:29.095000,0 days 00:00:28.684000,0 days 00:00:22.772000,0 days 02:31:18.939000,0 days 02:31:47.623000,0 days 02:32:10.395000,282.0,250.0,251.0,290.0,False,HARD,26.0,True,Mercedes,0 days 02:30:49.844000,,1,3.0,False,,False,True,20.909,0,344.0,0.0,1.141999999999996
